lake,date,depth_m,corrected_chl_ug_l,total_chl_ug_l,pheo_ug_l,po4_u_m,no3_u_m,tdn_u_m,tn_u_m,tp_u_m,tdp_u_m,pp_ug_l,pn_ug_l,pc_ug_l,alk_meq_l
I7,2014-07-16T00:00:00Z,4,0.76,0.91,0.27,0.04,0.85,16,NA,NA,NA,NA,NA,NA,0.323
I7,2014-07-16T00:00:00Z,10,0.36,0.49,0.26,0.04,1.64,13.4,NA,NA,NA,NA,NA,NA,0.282
I8,2014-07-16T00:00:00Z,1,0.87,0.88,0.02,0.04,1.06,21.8,NA,NA,NA,NA,NA,NA,0.719
I8,2014-07-16T00:00:00Z,3,1,1.04,0.06,0.06,0.1,20.8,NA,NA,NA,NA,NA,NA,0.709
I8,2014-07-16T00:00:00Z,7,0.77,1.02,0.49,0.04,2,19.2,NA,NA,NA,NA,NA,NA,0.699
Toolik,2014-07-18T00:00:00Z,0,0.81,1,0.37,0.03,NA,15.6,NA,NA,NA,NA,NA,NA,0.704
Toolik,2014-07-18T00:00:00Z,1,0.94,1.22,0.54,0.02,0.87,14.4,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-07-18T00:00:00Z,1,1.03,1.3,0.52,0.03,1.44,NA,NA,NA,NA,NA,NA,NA,0.701
Toolik,2014-07-18T00:00:00Z,3,1.07,1.27,0.38,0.03,1.23,21.1,NA,NA,NA,NA,NA,NA,0.695
Toolik,2014-07-18T00:00:00Z,5,2.33,2.72,0.75,0.02,1.36,18,NA,NA,NA,NA,NA,NA,0.7
Toolik,2014-07-18T00:00:00Z,8,1.72,2.06,0.66,0.03,0.55,14.5,NA,NA,NA,NA,NA,NA,0.718
Toolik,2014-07-18T00:00:00Z,12,0.44,0.58,0.28,0.03,2.61,18.3,NA,NA,NA,NA,NA,NA,0.721
Toolik,2014-07-18T00:00:00Z,16,0.46,0.65,0.36,0.03,1.86,16.1,NA,NA,NA,NA,NA,NA,0.728
Toolik,2014-07-18T00:00:00Z,20,0.41,0.53,0.23,0.03,3.02,15.7,NA,NA,NA,NA,NA,NA,0.73
Toolik,2014-07-25T00:00:00Z,0,0.76,0.93,0.32,0.03,0.09,19.1,NA,NA,NA,NA,NA,NA,0.718
Toolik,2014-07-25T00:00:00Z,1,0.98,1.17,0.36,0.03,0.03,15.5,NA,NA,NA,NA,NA,NA,0.717
Toolik,2014-07-25T00:00:00Z,1,0.83,1,0.32,0.03,0.14,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-07-25T00:00:00Z,3,0.79,0.94,0.29,0.03,1.37,19.5,NA,NA,NA,NA,NA,NA,0.718
Toolik,2014-07-25T00:00:00Z,5,1.21,1.33,0.23,0.04,NA,14.8,NA,NA,NA,NA,NA,NA,0.718
Toolik,2014-07-25T00:00:00Z,8,0.89,1.09,0.38,0.04,1.2,13.4,NA,NA,NA,NA,NA,NA,0.714
Toolik,2014-07-25T00:00:00Z,12,0.29,0.45,0.31,0.04,2.69,13.9,NA,NA,NA,NA,NA,NA,0.722
Toolik,2014-07-25T00:00:00Z,16,0.32,0.51,0.37,0.04,2.86,19,NA,NA,NA,NA,NA,NA,0.726
Toolik,2014-07-25T00:00:00Z,20,0.53,0.72,0.36,0.05,1.93,17.2,NA,NA,NA,NA,NA,NA,0.727
Fog 01,2014-07-28T00:00:00Z,1,0.39,0.46,0.13,0.02,0.05,16.9,19.47,NA,0.06,NA,36.01,193.39,1.285
Fog 01,2014-07-28T00:00:00Z,3,0.49,0.59,0.18,0.03,0.15,14.3,16.39,NA,0.07,NA,29.28,205.29,1.272
Fog 01,2014-07-28T00:00:00Z,6,0.52,0.62,0.18,0.03,1.29,15.2,17.169999999999998,NA,0.06,NA,27.66,223.43,1.295
Fog 01,2014-07-28T00:00:00Z,16,0.57,0.81,0.47,0.03,1.86,20.8,24.02,NA,0.08,NA,45.07,260.14,1.695
Fog 02,2014-07-28T00:00:00Z,1,0.38,0.42,0.08,0.03,0.22,13.4,15.32,NA,0.07,NA,26.91,231.25,1.353
Fog 02,2014-07-28T00:00:00Z,3,0.51,0.57,0.11,0.03,NA,11.5,14.1,NA,0.07,NA,36.44,279.64,1.36
Fog 02,2014-07-28T00:00:00Z,8,0.91,1.01,0.19,0.03,0.79,12.6,16.1,NA,0.07,NA,49.01,334.77,1.416
Fog 02,2014-07-28T00:00:00Z,16,0.39,0.5,0.2,0.04,0.31,13.6,16.74,NA,0.08,NA,44.02,267.34,0.907
Fog 03,2014-07-28T00:00:00Z,1,0.56,0.63,0.13,0.02,NA,19,21.68,NA,0.04,NA,37.55,242.23,0.907
Fog 03,2014-07-28T00:00:00Z,3,0.46,0.51,0.09,0.03,NA,18.2,21,NA,0.03,NA,39.18,250.36,0.9
Fog 03,2014-07-28T00:00:00Z,6,0.71,0.79,0.14,0.03,NA,17.7,20.09,NA,0.03,NA,33.54,234.69,0.903
Fog 03,2014-07-28T00:00:00Z,16,0.4,0.57,0.33,0.03,1.72,17.4,20.299999999999997,NA,0.04,NA,40.62,266.56,1.141
Fog 04,2014-07-28T00:00:00Z,0,1.29,1.51,0.43,0.03,0.15,20.4,25.479999999999997,NA,0.03,NA,71.1,620.17,0.974
Fog 04,2014-07-28T00:00:00Z,1,2,2.28,0.54,0.03,1.28,22,27.42,NA,-0.03,NA,75.84999999999998,633.28,0.972
Fog 04,2014-07-28T00:00:00Z,3,1.99,2.3,0.6,0.04,0.01,21.3,26.23,NA,0.04,NA,69.02,611.04,0.971
Fog 05,2014-07-28T00:00:00Z,1,0.3,0.39,0.16,0.04,0.22,18.1,22.1,NA,0.06,NA,55.96,368.62,0.89
Fog 05,2014-07-28T00:00:00Z,3,0.5,0.63,0.25,0.04,0.84,23.1,27.43,NA,0.06,NA,60.58,403.59,0.859
Fog 05,2014-07-28T00:00:00Z,5,0.44,0.57,0.26,0.04,0.18,21.2,24.49,NA,0.06,NA,46.06,305.63,0.849
Fog 05,2014-07-28T00:00:00Z,8,0.38,0.6,0.42,0.06,1.4,40.5,45.33,NA,0.06,NA,67.71,707.42,1.391
Toolik,2014-08-01T00:00:00Z,0,0.86,0.99,0.25,0.03,0.08,17.3,NA,NA,NA,NA,NA,NA,0.727
Toolik,2014-08-01T00:00:00Z,1,1.24,1.44,0.38,0.03,NA,14.7,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-08-01T00:00:00Z,1,1.09,1.26,0.32,0.03,1.16,NA,NA,NA,NA,NA,NA,NA,0.728
Toolik,2014-08-01T00:00:00Z,3,1.02,1.19,0.32,0.03,0.87,14.9,NA,NA,NA,NA,NA,NA,0.727
Toolik,2014-08-01T00:00:00Z,5,0.84,1.07,0.45,0.05,0.09,15.6,NA,NA,NA,NA,NA,NA,0.642
Toolik,2014-08-01T00:00:00Z,8,0.55,0.8,0.48,0.03,1.07,13.7,NA,NA,NA,NA,NA,NA,0.721
Toolik,2014-08-01T00:00:00Z,12,0.39,0.6,0.39,0.04,1.65,17.5,NA,NA,NA,NA,NA,NA,0.727
Toolik,2014-08-01T00:00:00Z,16,0.42,0.61,0.37,0.04,2.69,14.6,NA,NA,NA,NA,NA,NA,0.73
Toolik,2014-08-01T00:00:00Z,20,0.49,0.63,0.27,0.04,2.11,16.5,NA,NA,NA,NA,NA,NA,0.732
Toolik,2014-08-08T00:00:00Z,0,0.64,0.75,0.21,0.03,0.28,14.6,NA,NA,NA,NA,NA,NA,0.748
Toolik,2014-08-08T00:00:00Z,1,1.06,1.17,0.22,0.03,0.96,13.6,NA,NA,NA,NA,NA,NA,0.739
Toolik,2014-08-08T00:00:00Z,1,0.58,0.68,0.18,0.03,1.26,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-08-08T00:00:00Z,3,0.95,0.96,0.01,0.03,1.01,14.5,NA,NA,NA,NA,NA,NA,0.743
Toolik,2014-08-08T00:00:00Z,5,0.97,1.1,0.25,0.03,NA,15.4,NA,NA,NA,NA,NA,NA,0.745
Toolik,2014-08-08T00:00:00Z,8,0.78,0.92,0.28,0.03,1.18,16.7,NA,NA,NA,NA,NA,NA,0.736
Toolik,2014-08-08T00:00:00Z,12,0.33,0.5,0.31,0.04,2.6,15.5,NA,NA,NA,NA,NA,NA,0.73
Toolik,2014-08-08T00:00:00Z,16,0.3,0.48,0.33,0.03,3.25,14.4,NA,NA,NA,NA,NA,NA,0.727
Toolik,2014-08-08T00:00:00Z,20,0.29,0.5,0.41,0.03,2.24,16,NA,NA,NA,NA,NA,NA,0.731
Fog 01,2014-08-09T00:00:00Z,1,0.23,0.26,0.06,0.04,2.82,16.2,19.33,NA,0.05,NA,43.83,279.29,1.325
Fog 01,2014-08-09T00:00:00Z,3,0.34,0.4,0.11,0.02,NA,15.4,18.080000000000002,NA,0.08,NA,37.54,234.17,1.321
Fog 01,2014-08-09T00:00:00Z,8,0.58,0.69,0.21,0.03,0.13,17.8,20.17,NA,0.07,NA,33.16,200.37,1.541
Fog 01,2014-08-09T00:00:00Z,16,0.47,0.69,0.42,0.04,0.83,22.4,25.619999999999997,NA,0.06,NA,45.05,269.33,1.706
Fog 02,2014-08-09T00:00:00Z,1,0.32,0.38,0.11,0.04,NA,13.4,15.92,NA,0.09,NA,35.34,220.34,1.376
Fog 02,2014-08-09T00:00:00Z,3,0.32,0.38,0.11,0.02,0.04,13.4,15.97,NA,0.09,NA,36.02,245.49,1.385
Fog 02,2014-08-09T00:00:00Z,10,0.71,0.82,0.21,0.03,0.04,13.9,16.79,NA,0.06,NA,40.41,274.74,1.58
Fog 02,2014-08-09T00:00:00Z,16,0.44,0.51,0.13,0.03,0.18,14.7,17.47,NA,0.07,NA,38.78,229.43,1.593
Fog 03,2014-08-09T00:00:00Z,1,0.46,0.53,0.14,0.02,NA,18.6,21.290000000000003,NA,0.04,NA,37.72,254.23,0.933
Fog 03,2014-08-09T00:00:00Z,3,0.5,0.57,0.13,0.04,1.38,18.8,21.490000000000002,NA,0.04,NA,37.69,236.86,0.917
Fog 03,2014-08-09T00:00:00Z,10,0.3,0.37,0.13,0.04,0.35,18.5,20.84,NA,0.03,NA,32.83,186.89,1.024
Fog 03,2014-08-09T00:00:00Z,16,0.29,0.41,0.24,0.04,2.81,21.6,24.540000000000003,NA,0.02,NA,41.21,235.1,1.132
Fog 04,2014-08-09T00:00:00Z,0,0.79,0.97,0.36,0.04,NA,21,25.62,NA,0.03,NA,64.76,541.73,1.057
Fog 04,2014-08-09T00:00:00Z,1,1.44,1.57,0.26,0.05,0.15,20.1,24.900000000000002,NA,0.05,NA,67.2,555.24,1.06
Fog 04,2014-08-09T00:00:00Z,3,1.75,1.95,0.4,0.04,NA,18.2,24.08,NA,0.05,NA,82.39,613.57,1.054
Fog 05,2014-08-09T00:00:00Z,1,0.38,0.52,0.26,0.04,1.34,18.3,22.53,NA,0.06,NA,59.27,338.77,0.979
Fog 05,2014-08-09T00:00:00Z,3,0.67,0.78,0.21,0.05,1.28,19.7,23.73,NA,0.06,NA,56.49,295.69,0.93
Fog 05,2014-08-09T00:00:00Z,5,0.27,0.31,0.07,0.06,0.13,24.1,27.55,NA,0.05,NA,48.32,259.41,0.907
Fog 05,2014-08-09T00:00:00Z,8,0.38,0.71,0.64,0.07,0.81,22.1,27.01,NA,0.06,NA,68.79,420.28,0.984
I1,2014-08-12T00:00:00Z,1,0.68,0.77,0.16,0.02,1.77,18.8,NA,NA,NA,NA,NA,NA,0.255
I1,2014-08-12T00:00:00Z,8,1.15,1.35,0.38,0.04,0.45,15.4,NA,NA,NA,NA,NA,NA,0.249
I1,2014-08-12T00:00:00Z,9,0.79,0.98,0.36,0.07,0.74,15.5,NA,NA,NA,NA,NA,NA,0.25
I2,2014-08-12T00:00:00Z,1,1.05,1.19,0.26,0.05,1.76,NA,NA,NA,NA,NA,NA,NA,0.194
I2,2014-08-12T00:00:00Z,5,0.55,0.69,0.27,0.06,1.45,NA,NA,NA,NA,NA,NA,NA,0.187
I2,2014-08-12T00:00:00Z,14,0.23,0.34,0.21,0.07,3.3,23.1,NA,NA,NA,NA,NA,NA,0.195
I3,2014-08-12T00:00:00Z,1,0.62,0.73,0.22,0.06,1.76,19.3,NA,NA,NA,NA,NA,NA,0.223
I3,2014-08-12T00:00:00Z,3,0.66,0.8,0.27,0.07,1.86,17.9,NA,NA,NA,NA,NA,NA,0.222
I4,2014-08-12T00:00:00Z,1,0.63,0.75,0.23,0.06,1.62,NA,NA,NA,NA,NA,NA,NA,0.183
I4,2014-08-12T00:00:00Z,5,0.89,1.1,0.41,0.07,NA,NA,NA,NA,NA,NA,NA,NA,0.173
I4,2014-08-12T00:00:00Z,6,1.11,1.49,0.73,0.1,1.74,22.3,NA,NA,NA,NA,NA,NA,0.168
I5,2014-08-12T00:00:00Z,1,0.63,0.75,0.22,0.07,1.19,20.5,NA,NA,NA,NA,NA,NA,0.16
I5,2014-08-12T00:00:00Z,7,0.43,0.69,0.5,0.07,1.78,17.7,NA,NA,NA,NA,NA,NA,0.158
I5,2014-08-12T00:00:00Z,8,0.43,0.73,0.58,0.08,0.49,17.5,NA,NA,NA,NA,NA,NA,0.163
I6,2014-08-12T00:00:00Z,1,0.74,0.82,0.15,0.07,0.03,18.2,NA,NA,NA,NA,NA,NA,1.38
I6,2014-08-12T00:00:00Z,5,1.03,1.19,0.3,0.07,-0.01,14.6,NA,NA,NA,NA,NA,NA,0.963
I6,2014-08-12T00:00:00Z,6,0.81,0.95,0.26,0.07,0.07,18.5,NA,NA,NA,NA,NA,NA,0.902
I6,2014-08-13T00:00:00Z,1,1.18,1.29,0.19,0.06,1.72,NA,NA,NA,NA,NA,NA,NA,0.346
I6,2014-08-13T00:00:00Z,6,0.72,0.87,0.29,0.06,1.13,19.6,NA,NA,NA,NA,NA,NA,0.362
I6,2014-08-13T00:00:00Z,12,0.21,0.3,0.16,0.07,1.44,22.4,NA,NA,NA,NA,NA,NA,0.345
I7,2014-08-13T00:00:00Z,1,1.38,1.55,0.32,0.04,NA,NA,NA,NA,NA,NA,NA,NA,0.389
I7,2014-08-13T00:00:00Z,5,0.93,1.12,0.36,0.04,0.12,20.5,NA,NA,NA,NA,NA,NA,0.394
I7,2014-08-13T00:00:00Z,10,0.42,0.59,0.34,0.03,2.33,22.9,NA,NA,NA,NA,NA,NA,0.343
I8,2014-08-13T00:00:00Z,1,1.82,2.02,0.4,0.04,0.05,27.7,NA,NA,NA,NA,NA,NA,0.882
I8,2014-08-13T00:00:00Z,5,0.85,1.03,0.34,0.05,0.32,22.1,NA,NA,NA,NA,NA,NA,0.891
I8,2014-08-13T00:00:00Z,7,0.55,0.73,0.35,0.05,0.66,18.4,NA,NA,NA,NA,NA,NA,0.819
Toolik,2014-08-15T00:00:00Z,0,1.41,1.33,-0.16,0.03,NA,NA,NA,NA,NA,NA,NA,NA,0.76
Toolik,2014-08-15T00:00:00Z,1,1.14,1.27,0.25,0.03,0.03,NA,NA,NA,NA,NA,NA,NA,0.757
Toolik,2014-08-15T00:00:00Z,1,1.11,1.23,0.24,0.03,0.67,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-08-15T00:00:00Z,3,1.27,1.41,0.25,0.02,0.05,18.1,NA,NA,NA,NA,NA,NA,0.758
Toolik,2014-08-15T00:00:00Z,5,1.46,1.26,-0.4,0.03,0.96,15.4,NA,NA,NA,NA,NA,NA,0.752
Toolik,2014-08-15T00:00:00Z,8,1.1,1.25,0.29,0.03,0.08,15.8,NA,NA,NA,NA,NA,NA,0.746
Toolik,2014-08-15T00:00:00Z,12,0.37,0.53,0.3,0.03,2.59,17.8,NA,NA,NA,NA,NA,NA,0.723
Toolik,2014-08-15T00:00:00Z,16,0.32,0.51,0.35,0.03,2.08,NA,NA,NA,NA,NA,NA,NA,0.73
Toolik,2014-08-15T00:00:00Z,20,0.3,0.53,0.43,0.03,3.1,16.3,NA,NA,NA,NA,NA,NA,0.729
NE 14,2014-08-19T00:00:00Z,3,0.47,0.5,0.06,0.01,NA,9.4,NA,NA,NA,NA,NA,NA,1.732
NE 14,2014-08-19T00:00:00Z,9,0.71,0.78,0.13,0.03,0.08,NA,NA,NA,NA,NA,NA,NA,1.784
NE 14,2014-08-19T00:00:00Z,16,1.39,1.64,0.47,0.02,NA,NA,NA,NA,NA,NA,NA,NA,1.984
Toolik,2014-08-22T00:00:00Z,0,1.24,1.42,0.34,0.04,NA,NA,NA,NA,NA,NA,NA,NA,0.768
Toolik,2014-08-22T00:00:00Z,1,1.29,1.45,0.31,0.03,NA,NA,NA,NA,NA,NA,NA,NA,0.765
Toolik,2014-08-22T00:00:00Z,1,1.2,1.35,0.29,0.03,0.01,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-08-22T00:00:00Z,3,1.25,1.44,0.37,0.03,0.33,14,NA,NA,NA,NA,NA,NA,0.771
Toolik,2014-08-22T00:00:00Z,5,1.09,1.25,0.32,0.03,NA,NA,NA,NA,NA,NA,NA,NA,0.769
Toolik,2014-08-22T00:00:00Z,8,0.63,0.78,0.27,0.03,0.01,15.5,NA,NA,NA,NA,NA,NA,0.751
Toolik,2014-08-22T00:00:00Z,12,0.37,0.52,0.28,0.03,1.99,NA,NA,NA,NA,NA,NA,NA,0.727
Toolik,2014-08-22T00:00:00Z,16,0.27,0.44,0.32,0.03,2.33,NA,NA,NA,NA,NA,NA,NA,0.73
Toolik,2014-08-22T00:00:00Z,20,0.26,0.46,0.39,0.04,2.43,NA,NA,NA,NA,NA,NA,NA,0.733
Fog 01,2014-08-27T00:00:00Z,1,0.55,0.63,0.16,0.03,0.55,15.1,17.31,NA,0.07,NA,30.94,166.27,1.369
Fog 01,2014-08-27T00:00:00Z,3,0.69,0.81,0.22,0.03,NA,16.5,19.22,NA,0.06,NA,38.11,214.18,1.382
Fog 01,2014-08-27T00:00:00Z,8,0.68,0.8,0.22,0.03,1.07,16,18.5,NA,0.07,NA,35.03,180.09,1.517
Fog 01,2014-08-27T00:00:00Z,16,0.4,0.66,0.5,0.04,2.46,18.4,21.29,NA,0.09,NA,40.51,227.52,1.734
Fog 02,2014-08-27T00:00:00Z,1,0.64,0.74,0.19,0.03,0.76,12.2,NA,NA,0.08,NA,NA,NA,1.427
Fog 02,2014-08-27T00:00:00Z,3,0.72,0.82,0.19,0.03,1.13,13.5,15.58,NA,0.08,NA,29.09,252.56,1.423
Fog 02,2014-08-27T00:00:00Z,9,0.68,0.85,0.31,0.03,NA,12,15.2,NA,0.07,NA,44.83,316.22,1.489
Fog 02,2014-08-27T00:00:00Z,16,0.84,1.01,0.33,0.04,1.82,16,18.07,NA,0.07,NA,28.97,215.68,1.69
Fog 03,2014-08-27T00:00:00Z,1,0.85,0.82,-0.06,0.04,0.03,18.8,20.97,NA,0.04,NA,30.39,240.83,0.966
Fog 03,2014-08-27T00:00:00Z,3,0.89,0.89,-0.01,0.03,1.19,NA,NA,NA,0.03,NA,26.96,202.08,0.958
Fog 03,2014-08-27T00:00:00Z,9,0.44,0.53,0.17,0.04,0.3,18.3,20.130000000000003,NA,0.02,NA,25.61,184.12,0.959
Fog 03,2014-08-27T00:00:00Z,16,0.33,0.42,0.17,0.04,2.81,21,22.71,NA,0.03,NA,23.95,179.04,1.133
Fog 05,2014-08-27T00:00:00Z,1,0.69,0.81,0.23,0.04,0.04,20.6,23.17,NA,0.04,NA,36.05,238.2,1.064
Fog 05,2014-08-27T00:00:00Z,3,0.57,0.72,0.28,0.04,0.08,20.2,23.3,NA,0.06,NA,43.39,287.56,1.046
Fog 05,2014-08-27T00:00:00Z,6,0.78,0.94,0.3,0.04,1.21,NA,NA,NA,0.06,NA,38.62,239.92,1.005
Fog 05,2014-08-27T00:00:00Z,8,0.57,0.89,0.61,0.06,1.5,25.7,28.74,NA,0.07,NA,42.64,315.86,1.002
Toolik,2014-08-29T00:00:00Z,0,1.32,1.56,0.47,0.04,0.94,13.6,NA,NA,NA,NA,NA,NA,0.785
Toolik,2014-08-29T00:00:00Z,1,1.22,1.46,0.45,0.03,0.02,15.6,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-08-29T00:00:00Z,1,1.22,1.45,0.45,0.06,0.39,NA,NA,NA,NA,NA,NA,NA,0.784
Toolik,2014-08-29T00:00:00Z,3,1.26,1.5,0.45,0.03,1.29,14.5,NA,NA,NA,NA,NA,NA,0.781
Toolik,2014-08-29T00:00:00Z,5,1.23,1.47,0.46,0.03,NA,12.8,NA,NA,NA,NA,NA,NA,0.783
Toolik,2014-08-29T00:00:00Z,8,1.22,1.45,0.44,0.03,1.12,14.7,NA,NA,NA,NA,NA,NA,0.782
Toolik,2014-08-29T00:00:00Z,12,0.37,0.57,0.37,0.04,1.97,18.3,NA,NA,NA,NA,NA,NA,0.735
Toolik,2014-08-29T00:00:00Z,16,0.25,0.38,0.25,0.04,2.35,19.4,NA,NA,NA,NA,NA,NA,0.729
Toolik,2014-08-29T00:00:00Z,20,0.26,0.4,0.27,0.04,2.76,18,NA,NA,NA,NA,NA,NA,0.737
Toolik,2014-09-05T00:00:00Z,0,1.42,1.68,0.5,0.03,0.38,NA,NA,NA,NA,NA,NA,NA,0.787
Toolik,2014-09-05T00:00:00Z,1,1.19,1.42,0.42,0.03,0.5,NA,NA,NA,NA,NA,NA,NA,0.786
Toolik,2014-09-05T00:00:00Z,1,1.41,1.64,0.46,0.03,1.58,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-09-05T00:00:00Z,3,1.4,1.66,0.49,0.03,0.61,NA,NA,NA,NA,NA,NA,NA,0.789
Toolik,2014-09-05T00:00:00Z,5,1.41,1.67,0.49,0.03,0.37,14.2,NA,NA,NA,NA,NA,NA,0.791
Toolik,2014-09-05T00:00:00Z,8,1.42,1.68,0.5,0.03,0.51,NA,NA,NA,NA,NA,NA,NA,0.787
Toolik,2014-09-05T00:00:00Z,12,1.4,1.63,0.45,0.03,1.19,NA,NA,NA,NA,NA,NA,NA,0.786
Toolik,2014-09-05T00:00:00Z,16,1.41,1.64,0.44,0.03,0.39,12.8,NA,NA,NA,NA,NA,NA,0.784
Toolik,2014-09-05T00:00:00Z,20,1.4,1.64,0.47,0.03,0.3,14.6,NA,NA,NA,NA,NA,NA,0.789
Fog 01,2014-09-09T00:00:00Z,1,0.58,0.65,0.13,0.03,1.15,NA,NA,NA,0.02,NA,26.78,171.78,1.479
Fog 01,2014-09-09T00:00:00Z,3,0.53,0.61,0.15,0.03,0.16,16.9,19.369999999999997,NA,0.07,NA,34.57,201.83,1.478
Fog 01,2014-09-09T00:00:00Z,8,0.62,0.7,0.15,0.03,1.35,NA,NA,NA,0.1,NA,42.57,231.91,1.483
Fog 01,2014-09-09T00:00:00Z,16,0.54,0.62,0.14,0.03,1.51,NA,NA,NA,0.19,NA,39.91,231.81,1.477
Fog 05,2014-09-09T00:00:00Z,1,0.48,0.55,0.14,0.05,1.57,19.7,21.689999999999998,NA,0.04,NA,27.9,210.57,1.063
Fog 05,2014-09-09T00:00:00Z,3,0.5,0.59,0.16,0.04,0.43,20.8,23.23,NA,0.07,NA,34.01,205.99,1.06
Fog 05,2014-09-09T00:00:00Z,5,0.43,0.52,0.17,0.03,1.54,NA,NA,NA,0.06,NA,48.02,255.11,1.062
Fog 05,2014-09-09T00:00:00Z,8,0.47,0.57,0.19,0.04,0.4,NA,NA,NA,0.06,NA,45.66,240.6,1.056
Fog 03,2014-09-10T00:00:00Z,1,0.68,0.75,0.14,0.03,1.71,NA,NA,NA,0.02,NA,38.75,201.77,0.996
Fog 03,2014-09-10T00:00:00Z,3,0.66,0.73,0.13,0.03,1.36,18.9,21.24,NA,0.03,NA,32.79,217.52,1.005
Fog 03,2014-09-10T00:00:00Z,8,0.67,0.74,0.13,0.03,0.51,17.9,20.24,NA,0.03,NA,32.84,201.53,0.994
Fog 03,2014-09-10T00:00:00Z,16,0.67,0.74,0.13,0.03,0.43,NA,NA,NA,0.03,NA,39.86,225.81,1.001
Fog 02,2014-09-11T00:00:00Z,1,0.88,1,0.22,0.03,0.06,11.4,14.27,NA,0.08,NA,40.15,234.63,1.465
Fog 02,2014-09-11T00:00:00Z,3,0.84,0.96,0.22,0.03,1.43,15.3,18.130000000000003,NA,0.09,NA,39.68,252.57,1.462
Fog 02,2014-09-11T00:00:00Z,7,1.02,1.15,0.24,0.03,0.84,11.9,14.530000000000001,NA,0.08,NA,36.9,252.52,1.462
Fog 02,2014-09-11T00:00:00Z,16,0.91,1.01,0.2,0.03,1.36,12,14.65,NA,0.12,NA,37.12,228.03,1.468
Toolik,2014-09-12T00:00:00Z,0,1.5,1.73,0.44,0.04,0.42,NA,NA,NA,NA,NA,NA,NA,0.797
Toolik,2014-09-12T00:00:00Z,1,1.45,1.67,0.42,0.04,0.37,NA,NA,NA,NA,NA,NA,NA,0.796
Toolik,2014-09-12T00:00:00Z,1,1.48,1.71,0.45,0.04,0.69,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-09-12T00:00:00Z,3,1.38,1.63,0.48,0.04,0.37,16.4,NA,NA,NA,NA,NA,NA,0.792
Toolik,2014-09-12T00:00:00Z,5,1.49,1.72,0.46,0.04,0.4,17.1,NA,NA,NA,NA,NA,NA,0.8
Toolik,2014-09-12T00:00:00Z,8,1.45,1.67,0.42,0.04,0.37,12.5,NA,NA,NA,NA,NA,NA,0.79
Toolik,2014-09-12T00:00:00Z,12,1.51,1.73,0.43,0.04,1.2,17.2,NA,NA,NA,NA,NA,NA,0.799
Toolik,2014-09-12T00:00:00Z,16,1.52,1.75,0.44,0.04,1.04,NA,NA,NA,NA,NA,NA,NA,0.794
Toolik,2014-09-12T00:00:00Z,20,1.48,1.7,0.43,0.04,0.28,15,NA,NA,NA,NA,NA,NA,0.789
Toolik,2014-09-19T00:00:00Z,0,1.47,1.63,0.31,0.03,0.28,13.7,NA,NA,NA,NA,NA,NA,0.806
Toolik,2014-09-19T00:00:00Z,1,1.72,1.89,0.34,0.03,1.33,15.1,NA,NA,NA,NA,NA,NA,0.81
Toolik,2014-09-19T00:00:00Z,1,1.74,1.94,0.37,0.03,1.54,NA,NA,NA,NA,NA,NA,NA,NA
Toolik,2014-09-19T00:00:00Z,3,1.56,1.71,0.29,0.03,0.38,14.6,NA,NA,NA,NA,NA,NA,0.809
Toolik,2014-09-19T00:00:00Z,5,1.72,1.91,0.36,0.03,0.3,15.1,NA,NA,NA,NA,NA,NA,0.812
Toolik,2014-09-19T00:00:00Z,8,1.69,1.88,0.36,0.03,0.31,13.7,NA,NA,NA,NA,NA,NA,0.813
Toolik,2014-09-19T00:00:00Z,12,1.61,1.79,0.35,0.03,0.29,14.8,NA,NA,NA,NA,NA,NA,0.814
Toolik,2014-09-19T00:00:00Z,16,1.55,1.76,0.42,0.03,1.31,10.7,NA,NA,NA,NA,NA,NA,0.816
Toolik,2014-09-19T00:00:00Z,20,1.65,1.84,0.38,0.03,1.18,14.8,NA,NA,NA,NA,NA,NA,0.813
Fog 01,2014-09-24T00:00:00Z,1,0.82,0.9,0.14,0.03,0.15,16,18.78,NA,0.07,NA,38.97,192.5,1.462
Fog 01,2014-09-24T00:00:00Z,3,0.79,0.86,0.13,0.03,0.1,17.4,20.56,NA,0.07,NA,44.29,228.37,1.464
Fog 01,2014-09-24T00:00:00Z,8,0.89,0.97,0.15,0.03,0.18,14.4,16.87,NA,0.07,NA,34.65,199.07,1.451
Fog 01,2014-09-24T00:00:00Z,16,1.04,1.14,0.19,0.03,0.17,18,20.5,NA,0.06,NA,34.95,198.84,1.454
Fog 05,2014-09-24T00:00:00Z,1,0.48,0.55,0.12,0.04,0.34,18.1,20.61,NA,0.06,NA,35.22,184.44,1.081
Fog 05,2014-09-24T00:00:00Z,3,0.49,0.56,0.11,0.05,1.17,20,23.27,NA,0.05,NA,45.85,226.87,1.082
